Time,Voltage,Current
17:33:54, 23.6864, 4185.9152
17:33:55, 23.6799, 4023.4767
17:33:55, 23.3930, 4198.4104
17:33:56, 22.6693, 4198.4104
17:33:56, 21.9324, 4223.4010
17:33:57, 21.4825, 4210.9057
17:33:57, 21.5043, 4235.8962
17:33:58, 21.3043, 4198.4104
17:33:58, 21.1391, 4298.3726
17:33:59, 21.1717, 4310.8679
17:33:59, 20.9174, 4298.3726
17:34:00, 20.7414, 4310.8679
17:34:00, 20.6805, 4323.3631
17:34:01, 20.6066, 4223.4010
17:34:01, 20.5675, 4223.4010
17:34:02, 20.5566, 4223.4010
17:34:02, 20.5675, 4248.3915
17:34:03, 20.5719, 4223.4010
17:34:03, 20.5436, 4198.4104
17:34:04, 20.5436, 4223.4010
17:34:04, 20.5653, 4235.8962
17:34:05, 20.5414, 4223.4010
